"","DS_P12A_1","DS_P12B_1","DS_P12C_1"
"18",NA,NA,NA
"19","tecnico parvularia","cuidar de niÒos","cuidar y educar niÒo menores de 6 aÒos"
"20",NA,NA,NA
"21","logistica",NA,NA
"22","empresario","empresario","dueÒo"
"23",NA,NA,NA
"24",NA,NA,NA
"25",NA,NA,NA
"26","supervisas bodega mantencion","supervisora bodega mantencion logistica","transferencia de carga"
"27","taxista","taxista","taxista"
"28","contruccion","contratista",NA
"29","contruccion","obrero","contratista empresa"
"30","contruccion","contruccion",NA
"31","analista de control de calidad",NA,NA
"32","guardia",NA,NA
"33",NA,NA,NA
"34","comerciante",NA,NA
"35","auxiliar de aseo",NA,NA
"36","conserje",NA,NA
"37","colero en feria libre","vender cachureos",NA
"38","ingeniero en prevencion","constructora","constructora"
"39","kinesiologo","area respiratoria","salud"
"40","asesora de hogar","aseo",NA
"41","maquinista","maquinista",NA
"42",NA,NA,NA
"43",NA,NA,NA
"44",NA,NA,NA
"45",NA,NA,NA
"46",NA,NA,NA
"47",NA,NA,NA
"48","venta de ropa en a feria libres","vender","venta ropa usada en feria libres"
"49",NA,NA,NA
"50",NA,NA,NA
"51",NA,NA,NA
"52","tenia una lavanderia",NA,NA
"53","educadora de parvulos","ver niÒos","ver niÒos y niÒas, organizar el dia"
"54","cheff",NA,NA
"55",NA,NA,NA
"56","jornaleros","construccion","construccion jornaler o"
"57",NA,NA,NA
"58","agricultura",NA,NA
"59",NA,NA,NA
"60","tempoorera","cosechaba porotoa","coschar"
"61",NA,NA,NA
"62","administrativo","administrativo","colectivos"
"63","tapicero","tapicero","tapiceri≠a"
"64","garzona","garzona","restorant"
"65","vemtas","ventas","vemtas"
"66","supervicion y otros",NA,"personal bien vestido, tener llaves de lockers, administrar bodegas, creaciones de piochas"
"67","comerciante de confecciones","comerciante","confeccion de ropa"
"68","empresario","empresario",NA
"69","tapicero","tapicero","tapiceri≠a"
"70","aseo",NA,NA
"71","supervisora","supervisar cajas en supermercados","supermercados"
"72","temporera","recoger fruta","agricola"
"73","emabalar, selecionar fruta","barrer, limpiar implementacion de trabajo","cosecha y exportacion"
"74",NA,NA,NA
"75","kiosko","vende dulces",NA
"76",NA,NA,NA
"77","cosechaba","seleccionar fruta","exportacion"
"78",NA,NA,NA
"79",NA,NA,NA
"80","contador",NA,NA
"81","hace masajes","hacer masajes","centro de estetica"
"82","vendo mermeladas caseras en la feria","preparo y vendo las mermeladas","venta de mermelada"
"83","cocinas","vendee",NA
"84","secretaria","actividades administrativas","consultora arquitectura"
"85","cosechar fruta","cosechar, distribucion, exportacion","exportacion de fruta"
"86",NA,NA,NA
"87","costura","costuras","costuras"
"88","confeccion","confeccionar ropa","confeccionar rops"
"89","costura","costura","fabrica de costura"
"90","matrona","matrona","cli≠nica"
"91","contador auditor","contador auditor","informatica"
"92","contabilidad","contabilidad","banco"
"93","empaque","empaque","tienda a paris"
"94",NA,NA,NA
"95","cajera en supermercado","cajera","supermercado"
"96","tecnico de laboratorio","recibir muestras","salud"
"97","secretaria textil","revisar importaciones","textil"
"98","ayudante de cocina","preparar alimentos","cocina"
"99","asesora del hogar","labores de casa","aseo"
"100","empaque","empacar productos","supernercado"
"101","estudia tecnico superior en la union","estudia edc.parvularia","estudia"
"102","control de gestion","control de gestion","medio ambiente"
"103","kinesiologo","rehabilitacion de mi∫sculos","salud"
"104",NA,NA,NA
"105","analista medico","cargar programa isapre","salud"
"106",NA,NA,NA
"107","administrativa hospital","estadi≠stica de hospitalizacion","salud"
"108","secretaria",NA,NA
"109","aseo","aseo","oficina de contabilidad"
"110","encargada de seccion","encargada de seccion","exportadora de frutos secos"
"111","cuidado de su hijo enfermo tiempo completo","dueÒa de casa","actualmente no trabaja"
"112","operador","operador","fabrica de plasticos"
"113","comerciante","comerciante","comercio"
"114","comerciante","vender","suplementero"
"115",NA,NA,NA
"116","reponedor","reponer","abc din vende electrodomesticos"
"117","electronica","reparacion de equipos electronicos",NA
"118","paramedico","ayudar a los enfermos","salud"
"119","albaÒil","hacer hormigon ceramica","empresa constructora vivirndas"
"120","asesora del hogar","limpieza","hogar particular"
"121","asistente social","trabajo comunitario","niÒos vulnerables"
"122","seguridad","seguridad en tiemda","seguridad"
"123","auxiliar de aseo","aseo","colegio"
"124","auxiliar de aseo","limpiar pisos, ordenar, etc, barrer","vende productos, supermercados"
"125","comercio","comercio de ropa","comercio ropa"
"126","cuidado de niÒos",NA,NA
"127","duoervisar caja7","superviviom","ver caja"
"128","mecanico","reparaciones de feenos","taller mecanicos"
"129","cuidar una persona dd la tercera edad","cuidado adulto mayor","casa particular"
"130","jefa tienda","administraxcion de tienda","comercio"
"131",NA,NA,NA
"132","guardia de seguridad","seguridad","banco"
"133","asesora","aseo de casas","casa particular"
"134","auditoria",NA,NA
"135","garzona","atencion de publico","hosteria"
"136","aseo","limpiar","restaurante"
"137","cajera","cajera","panaderi≠a"
"138","asesora del hogar","labores domesticas","casa particular"
"139","obras civiles","contraccion","mineri≠a"
"140",NA,NA,NA
"141","repsracion de bicicletas","reparar bicicletas","taller de reparscion"
"142",NA,NA,NA
"143","vendedor libreri≠a","atender clientes de libreri≠a","comercio"
"144","ayudante sastreri≠a","coser atender","hacer ropa"
"145",NA,NA,NA
"146","motocierrista","cortar arboles","exportaciones de madera"
"147","educadora de parvulo","educacion","volegio el regugio"
"148","ferroviario","maquinista","ferrocarril"
"149","construir casa","jefe de obra","construir casas"
"150","reposteria","fabricar y elaborar pasteles y tortas","pasteleria"
"151",NA,NA,NA
"152","supervisor de control mari≠timo",NA,NA
"153","obrero construccion","carpintero y ceramico","construccion"
"154","cuidados adultos mayores","cuidar al adulto","casa particular"
"155","asesora del hogar","asesora el hogar","casas"
"156","foneoaudiologa","evaluar y diagnosticar a niÒos","colegio especial de lenguaje de prebasica"
"157","operaria fabrica de carton","ardenar  y hacer tipos de diseÒos","manufucturera"
"158","agencia de habitacional","evaluar creditos hipotecarios","prestar servicios de creditos hipotecarios"
"159","supervision y contabilidad","llevar la contabilidad del producto","empresa productora de champinones"
"160","fonoudiologa","pacientes","atender pacientes"
"161","servicio de la mujer",NA,"scretaria"
"162","mayor domo","supervisar a la gente y las maquinas y recibir tecnicos y trabajos que de hacen","edificio"
"163","operario portuario","descargar container","puerto"
"164",NA,NA,NA
"165","obrero construccion","trabajar en obra construccion",NA
"166","guardia","cuidar en la cli≠nica","de seguridad"
"167","maestro albaÒil","obras gruesas","independiente"
"168","cuidadora estudiantes","vigilar estudiantes","educacion"
"169",NA,NA,NA
"170",NA,NA,NA
"171","comerciante","vender abarrotes","comercio"
"172","profesora","educar","colrgio"
"173",NA,NA,NA
"174","vendedora de libreri≠a","atender clientes","comercio"
"175","maestra de, cocina","cocinar","restaurant"
"176","auxiliar de aseo","aseo de oficina","servicio de aseo"
"177",NA,NA,NA
"178",NA,NA,NA
"179","soy jubilado antes era obrero en una empresa privada","acarrear material","comercial"
"180","ingeniero forestal","analista forestal","servicio forestal del estado"
"181",NA,NA,NA
"182","recolectar. basura","recoleccion",NA
"183",NA,NA,NA
"184",NA,NA,NA
"185",NA,NA,NA
"186",NA,NA,NA
"187","carabineros","resguardo orden pi∫blico","carabineros de chile"
"188","aseo","aseo copera",NA
"189","singerista","simgerista","costura"
"190","nana","cuidado de niÒos",NA
"191",NA,NA,NA
"192","gestion","administrativo","retail"
"193","jefe del depto de limpieza de la naza","jefe lavado vehiculos","naza"
"194",NA,NA,NA
"195","trabajadora social","atencion de casos en situacion de bulnerabilidad","colegio"
"196","comercio","minimarket","negocio"
"197",NA,NA,NA
"198","optica","tenia vidrio de lentes","hacia lentes"
"199","corte y confeccion","hacer ropa","vender y hacer ropa"
"200","transporte","transporte","transporte"
"201","tec de enfermedad","asistirs a paciene","salud"
"202","subrogante","atencion publico","fonasa"
"203","en el aria de la salud","en el aria de la salud","en el aria de la salud"
"204","vendedora textil mujer","venta de ropa",NA
"205","digitador","digital pedidos","enmieda"
"206","ceramista","ceramista","ceramica"
"207","cortador de vidrios","ajustar y cortar vidrios","vidrieri≠a"
"208","ventas","restaurat","subway"
"209","operario fabrica confeccion",NA,NA
"210",NA,NA,NA
"211","actualmente no esta trabajando","chofer con licencia profesional",NA
"212","jefa de renumeraciones","pago de sueldos","servicio de salud metropolitano norte"
"213","minero","mineri≠a",NA
"214",NA,NA,NA
"215","profesora","enseÒanza","profesora"
"216","paradocente","inspectora de patio","educacion"
"217","manicurista","arreglo uÒas","99"
"218","mecanico industrial","reparacion de moldes","fabrica de rubos"
"219","operaria de maquinaria","operaba una maquina que envasava","fabricacion de envases de pasta dental"
"220","conductor","transporte","vasos desechables"
"221",NA,NA,NA
"222",NA,NA,NA
"223","guardia maritimo","patron de embarcacion extraccion de peces",NA
"224","soldador","trabajar con fierros hace cerco","soldaduras"
"225","comerciante","vender verduras","comercio"
"226","aseo","aseo","empresa aseo"
"227","profesor basico","educar alumnos","educacion"
"228",NA,NA,NA
"229","administrativa","estadisticas","area salud"
"230","costurera","componer y hacer ropa","costuras"
"231","ventas","atencion a publico y ventas","retail"
"232","maestro de la construccion","hacer casas","constructora"
"233","chofer y reparto","manejar y repartir producto","lacteos"
"234","operaria","empaque","tabaco o cigarrillos"
"235",NA,NA,NA
"236","vende cosas o verduras","vender verduras",NA
"237","ventas","vendedor",NA
"238","agricultura","siembra cereales","trigo y avena"
"239","repartidor","repartir mercaderia","coca cola"
"240","ingeniero comercial",NA,NA
"241","cosecha frutas","solo. cosecha","empresa agro fruti≠cola"
"242","corredor de propiedades","vender y arrendar propiedades","propiedades"
"243",NA,NA,NA
"244","vendi≠a ensaladas","vender ensaladas",NA
"245","chofer","manejar camion recolector","aseo y ornato"
"246","independiente","independiente","almacen"
"247",NA,NA,NA
"248","auxiliar de aseo","aseo en edificios","aseo"
"249","auxsiliar","limpieza",NA
"250","jefe de produccion muebleri≠a","distribuiir de trabajo","fabricacion de muebles"
"251","asesora del hogar","preocupada de aseo",NA
"252","auxiliar de aseo","aseo en colegio","educacion"
"253","mantencion de maquinas","mantencion de maquinas",NA
"254","pamedico","atender pacientes","salud"
"255","reponedora de mercaderi≠a","ordenar mercaderi≠a","comercio"
"256","paramedico","cuidar pacientes uti","salud"
"257",NA,NA,NA
"258","maestro jornalero y carpintero","construccion pintura",NA
"259","tec electrico","instalacion de lineas electricas","electricidad"
"260",NA,NA,NA
"261","tecnico fundicion","elaborar metales","fundicion"
"262","supervisora","supervisora","laboratorio"
"263","cajera","atencion publico","bancaria"
"264","profesora","educar y enseÒar a niÒos","colegio"
"265","coordinadora","coordinador de logi≠stica","hacen tarjetas de identificacion"
"266","vendedor","vender lentes pp ara optica","iìptica"
"267","profesor","educar","educacion colegio"
"268","maestro cocina","organizacion de almuerzo","hoteles"
"269","cocina,colaciones","preparar comida","cocineria"
"270","hojalateri≠a","hojalateri≠a","trabajo de hojalateri≠a para todo tipo de pi∫blico"
"271","secretaria","recepcion de materiales","empresa de buses"
"272","prestar servicios de manipulacion de alimentos","preparacion de alimentos a niÒos","servicios de manipulacion a junaeb"
"273","tecnico cuidado de enfermos","cuidadora de enfermos","velar cuidado de enfermos"
"274",NA,NA,NA
"275","mucama","aseo habitaciones","complejonturistico"
"276","empleado administrativo","empleado administrativo","empleado administrativo"
"277","ayudante carpinerto","cobstruccion de casa","construccion de casa"
"278","cuidadora de ancianos","darle alimento medicina","local de comida"
"279","temporera","empaquetar papas","empresa agricola"
"280","garzona","atencion de publuco restaurant","reataurant"
"281","construccion de casas","construccion de viviendas","construccion"
"282","junior","para los mandados del bco","banco"
"283","cortador de carne","carnicero","carniceria"
"284","inspectora de cokegio","cuidado menores","escuela municipal"
"285",NA,NA,NA
"286","oficial 2do.","atencion publico","poder judicial"
"287","reponedor","reponer productos","supermercado"
"288","secretaria","secretaria","secretaria"
"289","viveros","en los vivero","en los viveros"
"290","dueÒa de un restaurante","administrativo  de su local ver la contabilidad  y atencion  a clientes","ventas de comida"
"291","trabajaba como obrero en la construccion","construccion","construccion"
"292","pasteleria","pasteleria","produccion"
"293","nana  y servicios  domestico","cuodar niÒos aseo y mantencion de esto","trabaja casa particular"
"294","asesora de hogar","cuidado adulto enferma y cosas del hogar","casa particular"
"295","independendiente mantencion","estar al tanto de cuidados y reparaciones",NA
"296","transportista","conductor","transporte"
"297","tecnico electrisista actualmente jubilado","reparacion e instalacion electrica","reparacion e instalaciones  electricas"
"298",NA,NA,NA
"299","aseo y ornato","ornato y mantener limpio","aseo y ornato"
"300",NA,NA,NA
"301","trabajos administrativos","computacion","hospital, area salud"
"302","administrador","administrador","fundo"
"303","planes municipales del gobierno","taller del hospital",NA
"304","comerciante","dueÒa",NA
"305","conductor de ramplay operador de maquinaria","operador de maquinaria pesada","transporta contenedores"
"306","estetica","estetica","estetica"
"307","manipuladora de alimento","preparacion  de alimentos","internado mixto publico"
"308","mecanica","mecanica","mecanica"
"309","revisora de medicamentos","revisar medicamentos para ser envasados","laboratorio"
"310",NA,NA,NA
"311","manipuladora de alimentos","preparacion de alimentos","jardi≠n infantil"
"312",NA,NA,NA
"313","cuidar adultos mayores postrafos",NA,NA
"314","obrero en construccion de estructuras metalicas","soldar","presta servicio agricola"
"315",NA,NA,NA
"316","tecnico paramedico","atencion a pacientes","hospital clinico"
"317","secretaria de un colegio","atender apoderados","educacional"
"318","vendedores","vender","ventas"
"319","recursos humanos","manejar una plataforma documental","construccion"
"320","guardia","guardia cuidador colegio municipal","colegio"
"321","preparacion de alimentos","atencion de publico","carrito de alimentos"
"322",NA,NA,NA
"323","informatico",NA,"venta de mercaderia"
"324","aseo","limpiar hogares","casa particular"
"325","vendedora","vendedora","tienda de ropa"
"326","dueÒa y vendedora de almacen","vender en su almacen","almacen"
"327","dueÒa de almacen y botilleria","vender","almacen y botilleria"
"328","tipografo","tipografia de imprenta","imprenta"
"329","vendedora","vender","comercio"
"330","vendedora local de comida de un colegio","vendedora","local comida"
"331","costurera","coser diferentw tipos de arti≠culos de casa y prendas devestir","particular"
"332","operari≠a de bodega","pikin.","etiquetan productos despachos .pikin"
"333","agricola regador","regador de empresa agricola","empresa agricola exportadora de uva naranjas y mandarinas"
"334",NA,NA,NA
"335","tecnico en enfermeria","tecnico en fafmacia entregar remedios","hospital san pedro los vilos"
"336","asistente social","trabajadora social","municipalidad"
"337","tecnico en educacion parvularia","esucar","escuela de lenguaje"
"338","administrativa","administracion","mantencion industrial"
"339",NA,NA,NA
"340","panificador","dueÒo de panificador supervisar a sus empleados","hacer pan"
"341",NA,NA,NA
"342",NA,NA,NA
"343","residencial","agendes los huespedes","hostal"
"344","empresa",NA,NA
"345",NA,NA,NA
"346","administracion de colegio","revisar libros ver que estuviera todo para la alimentacion presentacion de los profesores","educacion"
"347","vendedora","vender","grandes tiendas"
"348",NA,NA,NA
"349","cuidando enfermo","cuidar enfermo","casa particular"
"350","cuidar a enfermos","acompaÒarlos, cuidarlos.","es una familia"
"351","mecanica",NA,"mecanica"
"352",NA,NA,"vendedor"
"353","temporera","empresa viÒera","cortaba las uvas"
"354",NA,NA,NA
"355",NA,NA,"administrativo"
"356",NA,NA,NA
"357",NA,NA,NA
"358","construccion","maestro albaÒil","constructora"
"359","cajera","cajera","panaderia"
"360","microempresarios","microempresarios","camiones"
"361","cuidar adultos mayores","cuidado adulto mayor","hogar de anciano"
"362",NA,NA,NA
"363",NA,NA,NA
"364",NA,NA,NA
"365","tesoreri≠a","tesoreri≠a","corredora de bilsa"
"366",NA,NA,NA
"367","maquinista aserradero","buscar palos en el monte","aserradero"
"368","cuida a sus nietos","cuida a sus nietos","casa particular"
"369","vendedor de un negocio familiar","vende mercaderia","negocio abarrotes"
"370","ventas","vender gas","negocios"
"371",NA,NA,NA
"372","ventas","vender abarrotes","almacenes"
"373","auxiliar de rampa","auxiliar de rampa","aeropuerto"
"374","pescador y buzo","pescador",NA
"375",NA,NA,NA
"376","tecnico ene nfermeria","tecnico en enfermeri≠a","hogar de ancianos"
"377",NA,NA,NA
"378","operaria","operaria","cocineria"
"379","pescador","pescador artesanal",NA
"380","empleada","asesora hogar","limpieza y aseo"
"381","panificador","panificador","panaderi≠a"
"382","aseo en colegio","hacer aseo","peluqueri≠a"
"383","asesora hogar","cocinar y limpiar","casa particular"
"384","independiente ,vende ropa y hace arreglos de costura","costura","coser ,arreglar ,vender ropa usada"
"385","agri≠cola","cortar uva ,cosechar uva , embalaje","exportaciones  de fruta"
"386","comida al paso","cocinera","comida"
"387","sacando papas","sacando papas","es particular dueÒo de campo"
"388",NA,NA,NA
"389","vendedora","ventas","locales comerciales"
"390","maestra de cocina","cocinar","restaurant"
"391","comerciante","peuquera","dueÒa de peluqueria"
"392","secretaria","atencion publico","municupalidad"
"393","contador",NA,NA
"394","temporera","packing,,cortar las hojas a frutilla","fundo fruticola"
"395","temporera","ayudante de cocina","empresa de alimentacion en un fundo"
"396","temporero","recolectar fruta","fundo"
"397",NA,NA,NA
"398","suplementera","atender kiosco","quisco diarios"
"399","reponedor","reponer meaeeria","supermercado"
"400","atiende negocio","atender a la gente y vender",NA
"401",NA,NA,NA
"402","cartero","entrega de correspondencia en hogares y oficinas",NA
"403","asesora de hogar","planchar , cocinar , hacer aseo , cuidados del hogar","casa particular"
"404","aseo","limpieza general en 8ficinas","construccion"
"405","pequeÒo agricultor","cria animales y hace huerta","act agricolas"
"406","ejecuraba y ordenaba pagos clientes al banco estafas trazferencias mal echas","banco",NA
"407",NA,NA,NA
"408","obrero agricola","limpieza de campo faenas agricolas","fundo agricola"
"409","encargado de dodegas","supervisaba","importadora.telas"
"410","dueÒa de almacen","vendedora y dueÒa almacen","almacen"
"411","pequeÒo sgricultos","crian animales , siembrab, entrega de leche","parcela agricola"
"412",NA,NA,NA
"413","cuida piscicultura","cuidar piscicultura","crianza de salmones"
"414",NA,NA,NA
"415","profesora enseÒanza basica","educar","escuela basica"
"416","maestro carpintero","hacer casas cass","construccion de vivienda"
"417",NA,NA,NA
"418","temporero","cosechaba ceresas","agrucila"
"419","maestro albaÒil","hacia casas","construccion"
"420","constructor civil","construccion","construccion"
"421","gaffer ( cineasta)","hago la luz en cine","ccomerciales publicidad"
"422","secretaria","atender telefono, administracion","consulte medica"
"423","transporte","varios","transporte"
"424","obrero","mesclas","contrucion"
"425","chofer de tractor","manejar","ezportadora de uvas"
"426","comerciante","venta de verduras","comercio"
"427","cuidadora de parcela","cuidadora de parcela","casa particular"
"428",NA,NA,NA
"429","trabajo agricola","cuida animales,hacer caminos","campo"
"430","estilista unisex","cortes, tinturas, cambios de tonos de cabello",NA
"431",NA,NA,NA
"432",NA,NA,NA
"433","vendiendo en feria libre","vendedora de ropa en feria libre","venta libre de ropa"
"434",NA,NA,NA
"435","hoteles","servir almuerzos","hoteles"
"436","operadora","mujti funcional","casi no de juegos de asar"
"437",NA,NA,NA
"438","cuidador parcela","cuidar cortar pasto","parcela de agrado"
"439","temporera","enbaladora","exportacion de fruts"
"440",NA,NA,NA
"441",NA,NA,NA
"442","estilista","estilista corte y tintura","estilista"
"443","secretaria oficina de abogados","secretaria","secretaria oficina de abogados"
"444","iÅrea de telecomunicaciones","trabajaba en carabineros de chile","charlas relascionadas a la prevencion"
"445","independiente","independiente","comercio"
"446","servicio de salud pi∫blica","tecnico en enfermeri≠a","atencion de pacientes"
"447","auxiliar aseo","aseo en hogar","asesora de hogar"
"448","vendedora","vencedora de ropa",NA
"449","auxiliar de servicio","mantener ordenado y limpio","jardi≠n infantil"
"450","operario","operaria","operaria"
"451","estudiante","estudiante obstetricia",NA
"452","contador general","contador general","contado general"
"453","tia jardin","tec en patvulo","jardkn knfantil"
"454",NA,NA,NA
"455","construcciones de vivienda","construccion de viviendas","construccion de viviendas"
"456","impectora general","corrdinar hirario","educacion"
"457","servicio de salud","servicio de salud","servicio de salud"
"458","repartidor","repurtifor de mercaderia","venta de zapatos"
"459","tripulante",NA,NA
"460","mecanica","arreglar uto","arreglo de auto"
"461","profesional asesor","gestion y control de personal","administracion de hospital enbsalud"
"462","nana","cuida niÒos","casa particular"
"463",NA,NA,NA
"464","cuidar niÒos","cuidar niÒos","casa particular"
"465","ooeraria de produciion","maquinaria","productos quimicos"
"466","pedagogi≠a diferencial","apoyar a niÒos con discapacidad","educacion"
"467","asesora de hogar","aseo y cuidado de niÒos","casa particular"
"468","mecanica","arregla maquinaria pesada","caminos alcantarilla. contrucion.aregla maquinaria"
"469","ayudante albaÒil","preparar mezcla","construccion"
"470","gastronomia","cocinar","cocinar"
"471",NA,NA,NA
"472","cocechaba arandanos","tomaba fruta","trabajos agricolas"
"473","chofer","manejar buses","transporte"
"474","arreglos electricos","arreglar cosas electricas",NA
"475","temporera","reolectar arandanos","fundo con arandanos"
"476","profesora","educar","colegio"
"477","vende","vender limones y despachos a supermercados","fabrica a de limones"
"478","asesora del hogar","aseo","casa paticular"
"479","peluqueria","peluquera","propia"
"480","asesora del hogar","aseo","casa particular"
"481","aseo y venta de cachureos","aseo","aseo independiente"
"482","comerciante establecido","vender en su negocio","negocio,almacen"
"483","manicurista y depilacion","hacer depilaciones o manicuras","servicios de belleza"
"484","aseo,planchado","planchas y aseo casa particular","casa particular"
"485",NA,NA,NA
"486",NA,NA,NA
"487","costrucion","construir casas","construccion"
"488","asistente de educacion","enseÒsr","colegio"
"489","ejecutivo ventas autos","vendedor",NA
"490",NA,NA,NA
"491",NA,NA,NA
"492","asesora de hogar","aseo",NA
"493","supervisor logi≠stica de mineri≠a","dirigir produccion de trabajo","mineri≠a"
"494","educadora de parvulos","realizar actividades pedagogicas","educacion"
"495","administracion","administrativa","publicado ca"
"496","administracion  de  lavanderi≠a","cobro de servicios","lavado de ropa"
"497","albaÒileria","nivelacion de pisos y reparacion de muros","construyen casa es constructora"
"498","asesora del hogar","aseo en hogar","servicios"
"499",NA,NA,NA
"500",NA,NA,NA
"501","agricultura","preparacion de tierra  para siembras","cereales"
"502","conductor","traslado de personas a trabajadores de la empresa","servicios publicos. es una empresa estatal en donde se trasladan a las personas de un lado a otro servisolial"
"503",NA,NA,NA
"504","asesora de hogar","lavar, planchar, cocinar","casa particular"
"505","enfierrador","contruccion","contruccion vivendaw"
"506","agro fruti≠cola","cosecha de frutas","ventas de frutas y cereales"
"507",NA,NA,NA
"508","prorfesir independiente","prifresor","prifesor"
"509",NA,NA,NA
"510","recepcionista","atender personas cuando llegan, tramites administrativos",NA
"511","encarpsdor e canciones","encarpsdor camiones","salmonera alimentos de exportacion"
"512",NA,NA,NA
"513","ejecutivo de ventas","venta de telefonia","venta telefonia movistar"
"514","comerciante","vender abarrotes","comercio"
"515",NA,NA,NA
"516",NA,NA,NA
"517","mecanica automotriz","reparacion de vehi≠culos","mecanica automotriz"
"518","maestro de cocina","preparar los productos para que los cocinen despues en la tarde","gastronomia, comida gourmet. para servir en el sitio"
"519",NA,NA,NA
"520",NA,NA,NA
"521","obrero de agro fruti≠cola","preparacion de suelo para siembras poda y plantacion  de arboles","agro fruti≠cola"
"522",NA,NA,NA
"523","obrero agri≠cola","siembra despaste poda","agropecuaria"
"524",NA,NA,NA
"525",NA,NA,NA
"526","atiendo una fruteria","reponer la fruta, y verduras  mantener limpio el lugar,llevar la mercaderi≠a a los clientes a los autos  y acompaÒar a la vega monumental al jefe para  cargar la mercaderia","vende frutas y verduras"
"527","ayudante carpintero","armar tableros y entregar materiales a los maestros","empresa de mpliacion de carreteras"
"528","secretaria","secretaria","secretaria"
"529",NA,NA,NA
"530","cuidado de enfermos adulto mayor","cuidar adulto mayor","casa particular"
"531","envasadora de uvas","envasar","packing de frutas"
"532","trabajador agricola","sembrar.. lecheri≠a","fundo agricola"
"533","trabaja como vendedor","es vendedor",NA
"534","vendedora almacen","vender","almacen"
"535","profesora","educacion","profesora de educacion basica y baile"
"536","redera","coser redes pesqueras","pesquera"
"537","peluqueri≠a","cortar el pelo",NA
"538",NA,NA,NA
"539",NA,NA,NA
"540","trabo de temporera",NA,NA
"541",NA,NA,NA
"542","obrero aserradero","aserrear maderas",NA
"543","jardinero","cortar pasto ,regar ,podar etc","cuidar de jardines"
"544","cuidadora de gente mayor y niÒos","cuidar","casas particular"
"545","asesora de hogar","quehaceres del hogar","casa particular"
"546","asesora de hogar","limpiar , planchar , cocinar ,","casa particular"
"547","cuidar niÒos","cuidar niÒos","en casa particular"
"548","agricultor  siembras  y  cosecha de trigo","cosechar , envasar , guardar trigo","venta cereales"
"549","asesiea higar","aseo","aseo xasa"
"550","dietetica","atender alimentacion de pacientes en clinica","alimentacion"
"551","empaque de frutas","seleccionar y empacar fruta","exporta fruta"
"552",NA,NA,NA
"553","ceramista","pegar ceramica","construye casas y departamentos"
"554",NA,NA,NA
"555","temporero","tomar fruta","fundo"
"556",NA,NA,NA
"557","inspector","inspeccionar lineas electricas","electricidad"
"558","asesora de hogar","lavar , planchar ,  cocinar","casa paticular"
"559",NA,NA,NA
"560","comerciante",NA,NA
"561",NA,NA,NA
"562","haciendo cajas decplumavit",NA,NA
"563","obrero","aparadora","venta de calzado"
"564","digitador","digitar","digitar"
"565","ayudante de albaÒil","reparar viviendas","construccion"
"566","manipulador alimentos","cocinar","educacion"
"567","chofer de micros","manejar chofer","chofer"
"568","agriculor","trabajar s tierra","siembra y trabajar la tierra"
"569","temporero","cosechar , podar, regar","exporta fruta"
"570",NA,NA,NA
"571",NA,NA,NA
"572",NA,NA,NA
"573",NA,NA,NA
"574","agricultor","sembrar la tierra","agricultura"
"575",NA,NA,NA
"576","cajera","cobrar en la caja","panaderi≠a"
"577","administrativo de oficina","trabajo administrativo","tienda"
"578",NA,NA,NA
"579","administracion","encargada de los transportistas en su carga","comercio"
"580",NA,NA,NA
"581",NA,NA,NA
"582","vigilar que no roben que no secuestren niÒos que no le robrn a locatarios","vigilar el correcto funcionamienti del persa, si se ponen a discutir aliviar la dituacion","venta de productos persa estacion"
"583","cual nstruccion","panguero","hacer mesclas"
"584","cuida niÒos",NA,NA
"585","lasesora hogar","asesora hogar","asesora hogar"
"586",NA,NA,NA
"587",NA,NA,NA
"588",NA,NA,NA
"589","asistente de educacion","recursos operativo","educar"
"590","mecanica","reparacion de maquinaria","mineri≠a"
"591","asesora del hogar","asesora hogsr","aseo"
"592",NA,NA,NA
"593","pescador","pescador","pescadores"
"594","vendedor vtr","ofrecer telecomunicaciones","telecomunicaciones"
"595",NA,NA,NA
"596",NA,NA,NA
"597","mineri≠a","manejar maquinaria pesada","mineri≠a"
"598","pescador","sacar mariscos","mariscos"
"599","auxiliar de aseo","aseo de oficina","mineri≠a"
"600","extraccion de mariscos","cocer  mariscos","sacar mariscos"
"601","cajera punto copec","cobrar a clientes","combustible"
"602","estoy trabajando","educadora","educadora. de ninos"
"603",NA,NA,NA
"604","pescador","sacar mariscos","mariscos"
"605","adnibutraxiin","cudar resinti de arriendi en inmibiliaria",NA
"606","tecnico en enfermeria","salud","area de salud"
"607","estilista","corte tintura  pelo","corte tintura de. cabello"
"608","panificador","hace pan","pan"
"609","aseo","prestar ayuda a la personas en el area de salud","sanar enfermedades"
"610","asistente administrativo general","control de compras atender de clientes","arriendo de maquinarias agricola"
"611","envasador de jugos","envasar jugos","exporta jugos"
"612",NA,NA,NA
"613","operaria de paking","digitadora de bodega de insumos","exportacion de frutas cerezas duraznos ciruelas peras quihuis"
"614","asesora hogar","limpieza de casa","casa particular"
"615","comercisnte","vender negocio","mafia nimsrket"
"616",NA,NA,NA
"617",NA,NA,NA
"618","comerciante","venta de fierro","local de fierros"
"619",NA,NA,NA
"620","secretaria abogado","papeles atencion pi∫blico","soluciones problema judicial"
"621","auxiliar de servicio","auxiliar de aseo","consultorio"
"622","administracion","administracion",NA
"623","auxiliar de aseo","aseo","colegio"
"624","comerciante","vendia dulces","comerciante"
"625",NA,NA,NA
